zipcode,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost,percent_brand,lat,lon
02169,Lipitor,0,0,N/A,Atorvastatin Calcium,880061.0,178803.47,0.2,0.0,42.250739,-70.99593
33166,Lipitor,0,0,N/A,Atorvastatin Calcium,1589316.0,104622.72,0.07,0.0,25.824725,-80.30476
35976,Lipitor,0,0,N/A,Atorvastatin Calcium,353019.0,77342.6,0.22,0.0,34.350835000000004,-86.30475
03301,Lipitor,0,0,N/A,Atorvastatin Calcium,1450597.0,356451.12,0.25,0.0,43.213705,-71.53774
77082,Lipitor,0,0,N/A,Atorvastatin Calcium,548391.0,93561.01,0.17,0.0,29.722704,-95.6314
32308,Lipitor,0,0,N/A,Atorvastatin Calcium,1845411.0,361598.74,0.2,0.0,30.531677,-84.16049
64804,Lipitor,0,0,N/A,Atorvastatin Calcium,809725.0,155188.77,0.19,0.0,37.047161,-94.51124
78258,Lipitor,690.0,9132.49,13.24,Atorvastatin Calcium,1179705.0,218869.88,0.19,0.000585,29.649797,-98.50406
10041,Lipitor,0,0,N/A,Atorvastatin Calcium,4241248.0,1033977.36,0.24,0.0,40.703041999999996,-74.01009
45440,Lipitor,0,0,N/A,Atorvastatin Calcium,300111.0,73859.98,0.25,0.0,39.674192,-84.11029
32224,Lipitor,661.0,7262.15,10.99,Atorvastatin Calcium,1379785.0,289596.74,0.21,0.000479,30.284511,-81.47043
78550,Lipitor,0,0,N/A,Atorvastatin Calcium,2017024.0,359727.12,0.18,0.0,26.206602,-97.68776
02451,Lipitor,0,0,N/A,Atorvastatin Calcium,151877.0,32526.4,0.21,0.0,42.393029,-71.24771
10532,Lipitor,0,0,N/A,Atorvastatin Calcium,451928.0,87830.72,0.19,0.0,41.103664,-73.7958
91360,Lipitor,2400.0,30863.26,12.86,Atorvastatin Calcium,806071.0,155253.86,0.19,0.002969,34.208837,-118.87348
15213,Lipitor,0,0,N/A,Atorvastatin Calcium,3667071.0,1023668.09,0.28,0.0,40.443269,-79.95487
34601,Lipitor,0,0,N/A,Atorvastatin Calcium,249197.0,45715.54,0.18,0.0,28.566183,-82.38002
46526,Lipitor,0,0,N/A,Atorvastatin Calcium,643543.0,129529.96,0.2,0.0,41.567559,-85.84885
85014,Lipitor,0,0,N/A,Atorvastatin Calcium,84201.0,18476.26,0.22,0.0,33.511325,-112.05711
85712,Lipitor,0,0,N/A,Atorvastatin Calcium,740467.0,155281.13,0.21,0.0,32.249551,-110.8878
90031,Lipitor,690.0,5133.28,7.44,Atorvastatin Calcium,1258522.0,232828.53,0.19,0.000548,34.07871,-118.2161
59715,Lipitor,0,0,N/A,Atorvastatin Calcium,991909.0,204501.0,0.21,0.0,45.707153,-110.9878
71105,Lipitor,360.0,5510.28,15.31,Atorvastatin Calcium,670748.0,132262.27,0.2,0.000536,32.457903,-93.7133
55455,Lipitor,0,0,N/A,Atorvastatin Calcium,631040.0,149706.33,0.24,0.0,44.971965,-93.23588
48910,Lipitor,0,0,N/A,Atorvastatin Calcium,360957.0,98359.07,0.27,0.0,42.704435,-84.54915
91709,Lipitor,0,0,N/A,Atorvastatin Calcium,476313.0,92783.42,0.19,0.0,33.975267,-117.72305
70460,Lipitor,0,0,N/A,Atorvastatin Calcium,13872.0,2341.83,0.17,0.0,30.298048,-89.81176
96819,Lipitor,0,0,N/A,Atorvastatin Calcium,891732.0,166468.35,0.19,0.0,21.3452,-157.88165
55414,Lipitor,0,0,N/A,Atorvastatin Calcium,195245.0,50499.02,0.26,0.0,44.980379,-93.23003
40743,Lipitor,0,0,N/A,Atorvastatin Calcium,1631484.0,316367.98,0.19,0.0,37.134455,-84.045746
83814,Lipitor,0,0,N/A,Atorvastatin Calcium,1537051.0,316445.7,0.21,0.0,47.66655,-116.7757
02215,Lipitor,0,0,N/A,Atorvastatin Calcium,1695989.0,364914.99,0.22,0.0,42.346997,-71.10215
46952,Lipitor,0,0,N/A,Atorvastatin Calcium,940074.0,240742.78,0.26,0.0,40.58119,-85.66324
28144,Lipitor,0,0,N/A,Atorvastatin Calcium,363920.0,74450.61,0.2,0.0,35.679639,-80.46645
08619,Lipitor,0,0,N/A,Atorvastatin Calcium,335630.0,64907.42,0.19,0.0,40.240558,-74.69588
22906,Lipitor,0,0,N/A,Atorvastatin Calcium,2204730.0,494094.89,0.22,0.0,38.040101,-78.485066
32763,Lipitor,0,0,N/A,Atorvastatin Calcium,729985.0,144488.48,0.2,0.0,28.945857,-81.30512
